album,track_no,track_title,audio_url,lyrics_url,lyrics_offset,lyric_preview
Humble Swag,8,卧底,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/02-humble-swag/08-%E5%8D%A7%E5%BA%95.flac,./lyrics/humble-swag/卧底.lrc,0.0,是你们逼我的那现在看我回到我的轨道
Humble Swag,9,登机,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/02-humble-swag/09-%E7%99%BB%E6%9C%BA.flac,./lyrics/humble-swag/登机.lrc,0.0,中文说唱除了我之外都要被区别对待
Humble Swag,10,候鸟,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/02-humble-swag/10-%E5%80%99%E9%B8%9F.flac,./lyrics/humble-swag/候鸟.lrc,0.0,我保持饥饿的状态 如果你累的话你可以先睡
Humble Swag,11,Beast Mode,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/02-humble-swag/11-Beast%20Mode.flac,./lyrics/humble-swag/beast-mode.lrc,0.0,No matter你是否有感觉
Humble Swag,12,后台 Interlude,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/02-humble-swag/12-%E5%90%8E%E5%8F%B0%20Interlude.flac,./lyrics/humble-swag/后台-interlude.lrc,0.0,内幕
Humble Swag,13,内幕,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/02-humble-swag/13-%E5%86%85%E5%B9%95.flac,./lyrics/humble-swag/内幕.lrc,0.0,如果你需要我那就把你爱给我
Humble Swag,14,你我几兄弟,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/02-humble-swag/14-%E4%BD%A0%E6%88%91%E5%87%A0%E5%85%84%E5%BC%9F.flac,./lyrics/humble-swag/你我几兄弟.lrc,0.0,Masiwei：
Humble Swag,15,Humble Swag Pt.2,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/02-humble-swag/15-Humble%20Swag%20Pt.2.flac,./lyrics/humble-swag/humble-swag-pt2.lrc,0.0,我保持humble swag
Humble Swag,16,亚特兰蒂斯,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/02-humble-swag/16-%E4%BA%9A%E7%89%B9%E5%85%B0%E8%92%82%E6%96%AF.flac,./lyrics/humble-swag/亚特兰蒂斯.lrc,0.0,Masiwei：
黑马王子,1,白天做梦,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/03-%E9%BB%91%E9%A9%AC%E7%8E%8B%E5%AD%90/01-%E7%99%BD%E5%A4%A9%E5%81%9A%E6%A2%A6.flac,./lyrics/黑马王子/白天做梦.lrc,0.0,今年夏天将会变得不一样了
黑马王子,2,Successful,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/03-%E9%BB%91%E9%A9%AC%E7%8E%8B%E5%AD%90/02-Successful.flac,./lyrics/黑马王子/successful.lrc,0.0,嗅到了成功的气味
黑马王子,3,黑马王子,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/03-%E9%BB%91%E9%A9%AC%E7%8E%8B%E5%AD%90/03-%E9%BB%91%E9%A9%AC%E7%8E%8B%E5%AD%90.flac,./lyrics/黑马王子/黑马王子.lrc,0.0,I ain't worried bout nothin' girl (（女孩，我无所畏惧）)
黑马王子,4,别害怕,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/03-%E9%BB%91%E9%A9%AC%E7%8E%8B%E5%AD%90/04-%E5%88%AB%E5%AE%B3%E6%80%95.flac,./lyrics/黑马王子/别害怕.lrc,0.0,别害怕
黑马王子,5,天生我材必有用,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/03-%E9%BB%91%E9%A9%AC%E7%8E%8B%E5%AD%90/05-%E5%A4%A9%E7%94%9F%E6%88%91%E6%9D%90%E5%BF%85%E6%9C%89%E7%94%A8.flac,./lyrics/黑马王子/天生我材必有用.lrc,0.0,天生我材那就必定有用
黑马王子,6,没有人会不爱音乐,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/03-%E9%BB%91%E9%A9%AC%E7%8E%8B%E5%AD%90/06-%E6%B2%A1%E6%9C%89%E4%BA%BA%E4%BC%9A%E4%B8%8D%E7%88%B1%E9%9F%B3%E4%B9%90.flac,./lyrics/黑马王子/没有人会不爱音乐.lrc,0.0,他们害怕听到我的音乐 分享我的音乐
黑马王子,7,Can I Have Your Number,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/03-%E9%BB%91%E9%A9%AC%E7%8E%8B%E5%AD%90/07-Can%20I%20Have%20Your%20Number.flac,./lyrics/黑马王子/can-i-have-your-number.lrc,0.0,Can I have your number (我能拥有你的电话号码吗)
黑马王子,8,花花公子 (feat. step.jad),https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/03-%E9%BB%91%E9%A9%AC%E7%8E%8B%E5%AD%90/08-%E8%8A%B1%E8%8A%B1%E5%85%AC%E5%AD%90%20(feat.%20step.jad).flac,./lyrics/黑马王子/花花公子-feat-stepjad.lrc,0.0,They be like
黑马王子,9,Private Party (feat. KnowKnow),https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/03-%E9%BB%91%E9%A9%AC%E7%8E%8B%E5%AD%90/09-Private%20Party%20(feat.%20KnowKnow).flac,./lyrics/黑马王子/private-party-feat-knowknow.lrc,0.0,Let's go 我带你去个private party (冲冲冲，我带你去私人派对)
黑马王子,10,浴缸,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/03-%E9%BB%91%E9%A9%AC%E7%8E%8B%E5%AD%90/10-%E6%B5%B4%E7%BC%B8.flac,./lyrics/黑马王子/浴缸.lrc,0.0,和我一起洗澡
黑马王子,11,嘟嘟嘟噜噜,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/03-%E9%BB%91%E9%A9%AC%E7%8E%8B%E5%AD%90/11-%E5%98%9F%E5%98%9F%E5%98%9F%E5%99%9C%E5%99%9C.flac,./lyrics/黑马王子/嘟嘟嘟噜噜.lrc,0.0,OP : Universal Music Publishing
黑马王子,12,One More Chance,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/03-%E9%BB%91%E9%A9%AC%E7%8E%8B%E5%AD%90/12-One%20More%20Chance.flac,./lyrics/黑马王子/one-more-chance.lrc,0.0,半夜三更不回你的电话还在外面鬼混
黑马王子,13,阿姆斯特丹 (feat. KnowKnow),https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/03-%E9%BB%91%E9%A9%AC%E7%8E%8B%E5%AD%90/13-%E9%98%BF%E5%A7%86%E6%96%AF%E7%89%B9%E4%B8%B9%20(feat.%20KnowKnow).flac,./lyrics/黑马王子/阿姆斯特丹-feat-knowknow.lrc,0.0,我在阿姆斯特丹当个画家
黑马王子,14,跑得脱马脑壳,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/03-%E9%BB%91%E9%A9%AC%E7%8E%8B%E5%AD%90/14-%E8%B7%91%E5%BE%97%E8%84%B1%E9%A9%AC%E8%84%91%E5%A3%B3.flac,./lyrics/黑马王子/跑得脱马脑壳.lrc,0.0,跑得脱 马脑壳马脑壳
黑马王子,15,成都,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/03-%E9%BB%91%E9%A9%AC%E7%8E%8B%E5%AD%90/15-%E6%88%90%E9%83%BD.flac,./lyrics/黑马王子/成都.lrc,0.0,弟娃儿 全成都都晓得
黑马王子,16,我在郫县,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/03-%E9%BB%91%E9%A9%AC%E7%8E%8B%E5%AD%90/16-%E6%88%91%E5%9C%A8%E9%83%AB%E5%8E%BF.flac,./lyrics/黑马王子/我在郫县.lrc,0.0,我在郫县
黑马王子,17,Where You At,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/03-%E9%BB%91%E9%A9%AC%E7%8E%8B%E5%AD%90/17-Where%20You%20At.flac,./lyrics/黑马王子/where-you-at.lrc,0.0,OP : Universal Music Publishing
黑马王子,18,GO,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/03-%E9%BB%91%E9%A9%AC%E7%8E%8B%E5%AD%90/18-GO.flac,./lyrics/黑马王子/go.lrc,0.0,"Go Masiwei, go Masiwei"
狗咬狗,1,DBD Intro,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/04-%E7%8B%97%E5%92%AC%E7%8B%97/01-DBD%20Intro.flac,./lyrics/狗咬狗/dbd-intro.lrc,0.0,Asen问我今天要干些啥子
狗咬狗,2,训练日,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/04-%E7%8B%97%E5%92%AC%E7%8B%97/02-%E8%AE%AD%E7%BB%83%E6%97%A5.flac,./lyrics/狗咬狗/训练日.lrc,0.0,我财富从来不是放在钱包里
狗咬狗,3,第一块劳,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/04-%E7%8B%97%E5%92%AC%E7%8B%97/03-%E7%AC%AC%E4%B8%80%E5%9D%97%E5%8A%B3.flac,./lyrics/狗咬狗/第一块劳.lrc,0.0,灯草绒的裤儿披个黑外套
